row_id,model,route,reasoning,family,planned,dispatched,graded,passed,failed,unscored,pending,pass_over_planned,pass_over_graded,graded_coverage,latency_p50_ms,latency_p95_ms,latency_max_ms,token_usage_observations,input_tokens,output_tokens,total_tokens,timeout_ms,source_commit
fable-low,anthropic/claude-fable-5-1,omp,low,all,105,105,105,58,47,0,0,0.5523809523809524,0.5523809523809524,1.0,26835,59581,64469,105,1036,117567,118603,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-medium,anthropic/claude-fable-5-1,omp,medium,all,105,105,105,57,48,0,0,0.5428571428571428,0.5428571428571428,1.0,29741,71928,93497,105,1038,145508,146546,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-high,anthropic/claude-fable-5-1,omp,high,all,105,105,105,55,50,0,0,0.5238095238095238,0.5238095238095238,1.0,32666,82357,104943,105,1070,179877,180947,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-max,anthropic/claude-fable-5-1,omp,max,all,105,105,75,40,35,30,0,0.38095238095238093,0.5333333333333333,0.7142857142857143,32921,109258,117691,75,732,175353,176085,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-low,anthropic/claude-opus-5,omp,low,all,105,105,105,57,48,0,0,0.5428571428571428,0.5428571428571428,1.0,24273,61680,93112,105,1012,100708,101720,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-medium,anthropic/claude-opus-5,omp,medium,all,105,105,105,54,51,0,0,0.5142857142857142,0.5142857142857142,1.0,27388,70434,91520,105,1028,143409,144437,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-high,anthropic/claude-opus-5,omp,high,all,105,105,102,53,49,3,0,0.5047619047619047,0.5196078431372549,0.9714285714285714,29627,91171,108660,102,1030,186398,187428,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
opus-max,anthropic/claude-opus-5,omp,max,all,105,105,85,41,44,20,0,0.3904761904761905,0.4823529411764706,0.8095238095238095,44473,105443,119441,85,802,223207,224009,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
devin-gemini-flash-medium,devin/gemini-3-8-flash,devin,medium,all,105,105,105,34,71,0,0,0.3238095238095238,0.3238095238095238,1.0,32760,95816,133302,105,17187754,246938,17434692,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-gemini-flash-high,devin/gemini-3-8-flash,devin,high,all,105,105,105,23,82,0,0,0.21904761904761905,0.21904761904761905,1.0,38507,101936,185114,105,17843102,304014,18147116,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-medium,devin/swe-2,devin,medium,all,105,105,104,31,73,1,0,0.29523809523809524,0.2980769230769231,0.9904761904761905,40499,96729,115732,104,9218510,75789,9294299,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-high,devin/swe-2,devin,high,all,105,105,102,32,70,3,0,0.3047619047619048,0.3137254901960784,0.9714285714285714,48212,157178,245149,102,11720104,137164,11857268,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
devin-swe2-max,devin/swe-2,devin,max,all,105,105,102,27,75,3,0,0.2571428571428571,0.2647058823529412,0.9714285714285714,55792,221267,271626,102,13501183,189055,13690238,300000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-minimal,muse-spark-1.3,muse,minimal,all,105,105,85,53,32,20,0,0.5047619047619047,0.6235294117647059,0.8095238095238095,13562,39936,55197,85,8697926,51206,8749132,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-low,muse-spark-1.3,muse,low,all,105,105,77,49,28,28,0,0.4666666666666667,0.6363636363636364,0.7333333333333333,17918,50464,70350,77,9721565,79853,9801418,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-medium,muse-spark-1.3,muse,medium,all,105,105,59,45,14,46,0,0.42857142857142855,0.7627118644067796,0.5619047619047619,20538,65646,86869,59,7346145,91838,7437983,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-high,muse-spark-1.3,muse,high,all,105,105,50,39,11,55,0,0.37142857142857144,0.78,0.47619047619047616,17042,89316,99276,50,5639090,75127,5714217,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
muse-max,muse-spark-1.3,muse,max,all,105,105,45,39,6,60,0,0.37142857142857144,0.8666666666666667,0.42857142857142855,22867,81976,115920,45,4869449,79703,4949152,120000,b76c284de42c12d6470e937e4f74e069b78fa64c
sol-low,openai-codex/gpt-5.6-sol,omp,low,all,105,105,104,61,43,1,0,0.580952380952381,0.5865384615384616,0.9904761904761905,28519,61233,95621,104,1655170,46231,1701401,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-medium,openai-codex/gpt-5.6-sol,omp,medium,all,105,105,101,58,43,4,0,0.5523809523809524,0.5742574257425742,0.9619047619047619,28107,84211,110443,101,1839677,65763,1905440,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-high,openai-codex/gpt-5.6-sol,omp,high,all,105,105,65,47,18,40,0,0.44761904761904764,0.7230769230769231,0.6190476190476191,27658,92496,117818,65,1373512,52009,1425521,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
sol-max,openai-codex/gpt-5.6-sol,omp,max,all,105,105,36,28,8,69,0,0.26666666666666666,0.7777777777777778,0.34285714285714286,33351,85556,97314,36,703397,31965,735362,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-low,openai-codex/gpt-5.6-terra,omp,low,all,105,105,105,56,49,0,0,0.5333333333333333,0.5333333333333333,1.0,25293,61657,78701,105,1694061,53174,1747235,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-medium,openai-codex/gpt-5.6-terra,omp,medium,all,105,105,105,54,51,0,0,0.5142857142857142,0.5142857142857142,1.0,23770,58080,88124,105,1823517,56552,1880069,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-high,openai-codex/gpt-5.6-terra,omp,high,all,105,105,79,50,29,26,0,0.47619047619047616,0.6329113924050633,0.7523809523809524,23754,78049,92129,79,1349897,56961,1406858,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
terra-max,openai-codex/gpt-5.6-terra,omp,max,all,105,105,31,25,6,74,0,0.23809523809523808,0.8064516129032258,0.29523809523809524,27753,86326,118260,31,360980,32070,393050,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-low,openai-codex/gpt-6-astra,omp,low,all,105,105,105,57,48,0,0,0.5428571428571428,0.5428571428571428,1.0,30058,49025,62381,105,1804413,32356,1836769,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-medium,openai-codex/gpt-6-astra,omp,medium,all,105,105,105,57,48,0,0,0.5428571428571428,0.5428571428571428,1.0,30078,51779,61115,105,1893998,34085,1928083,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
astra-high,openai-codex/gpt-6-astra,omp,high,all,105,105,105,57,48,0,0,0.5428571428571428,0.5428571428571428,1.0,31203,59686,72278,105,2100696,38051,2138747,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
