row_id,model,route,reasoning,family,planned,dispatched,graded,passed,failed,unscored,pending,pass_over_planned,pass_over_graded,graded_coverage,latency_p50_ms,latency_p95_ms,latency_max_ms,token_usage_observations,input_tokens,output_tokens,total_tokens,timeout_ms,source_commit
fable-low,anthropic/claude-fable-5-1,omp,low,perps,54,54,54,40,14,0,0,0.7407407407407407,0.7407407407407407,1.0,22495,62524,64469,54,528,60549,61077,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-low,anthropic/claude-fable-5-1,omp,low,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,32871,60829,62550,39,408,47715,48123,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-low,anthropic/claude-fable-5-1,omp,low,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,20799,42725,42725,12,100,9303,9403,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-medium,anthropic/claude-fable-5-1,omp,medium,perps,54,54,54,38,16,0,0,0.7037037037037037,0.7037037037037037,1.0,21250,83294,93497,54,542,78238,78780,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-medium,anthropic/claude-fable-5-1,omp,medium,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,35945,63134,74610,39,396,55575,55971,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-medium,anthropic/claude-fable-5-1,omp,medium,spot,12,12,12,10,2,0,0,0.8333333333333334,0.8333333333333334,1.0,21048,39454,39454,12,100,11695,11795,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-high,anthropic/claude-fable-5-1,omp,high,perps,54,54,54,37,17,0,0,0.6851851851851852,0.6851851851851852,1.0,24443,92025,104943,54,554,97027,97581,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-high,anthropic/claude-fable-5-1,omp,high,predictions,39,39,39,9,30,0,0,0.23076923076923078,0.23076923076923078,1.0,37653,94210,97307,39,412,65979,66391,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-high,anthropic/claude-fable-5-1,omp,high,spot,12,12,12,9,3,0,0,0.75,0.75,1.0,25748,72623,72623,12,104,16871,16975,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
fable-max,anthropic/claude-fable-5-1,omp,max,perps,54,54,39,28,11,15,0,0.5185185185185185,0.717948717948718,0.7222222222222222,25596,115427,117691,39,372,73060,73432,120000,1ad5387698bb530e37cf2b9d45ede27f5c530e23
